Nuc	s_erna-as_erna	s_erna-mrna	as_erna-mrna	as_erna-s_erna-mrna	#mrna	#s_erna	#as_erna	
1	0	0	0	0	11	3	0
2	0	0	3	0	6	1	4
3	0	0	2	0	7	2	2
4	0	0	1	0	8	1	2
5	1	3	1	1	4	10	1
6	0	0	2	0	10	2	2
7	0	0	1	0	1	0	3
8	1	3	3	2	14	8	4
9	0	1	0	0	3	5	0
10	0	0	0	0	0	1	0
11	0	1	3	0	14	2	3
12	1	1	1	1	5	2	1
13	0	0	1	0	7	0	2
14	0	0	0	0	1	0	0
15	0	1	0	0	3	3	0
16	0	0	0	0	1	0	0
17	0	0	1	0	7	0	3
18	0	1	0	0	1	2	2
19	1	1	2	1	8	1	2
20	0	2	1	0	6	3	1
21	0	0	0	0	4	1	3
22	0	1	1	1	6	2	4
23	0	0	0	0	1	0	0
24	0	1	2	0	6	1	1
25	0	0	1	0	5	0	1
26	2	4	1	2	9	4	2
27	1	1	1	1	3	1	1
28	1	1	3	1	11	2	5
29	0	0	0	0	0	1	0
30	1	4	0	0	7	9	3
31	1	0	0	0	1	2	1
32	0	1	0	0	3	1	0
33	1	1	2	1	4	1	2
34	0	0	0	0	1	0	0
35	0	0	0	0	0	2	2
36	0	0	1	0	6	1	1
37	0	0	0	0	1	1	0
38	0	1	1	0	5	3	1
39	0	1	1	0	7	3	1
40	0	0	1	0	4	1	3
41	0	0	0	0	4	1	0
42	0	0	0	0	0	1	1
